,method,score,std,test_points,freq,dpoints,building_id,model,splits
3,frac_cyc,86.26025572858812,1.9370566863711196,1752,60,8760,339,RandomForestRegressor,4
4,domain,86.38881073817629,2.308450330596631,1752,60,8760,339,RandomForestRegressor,4
0,baseline,-55.22769724474553,128.03765849154848,7392,15,36960,23,LinearRegression,4
1,baseline_cyc,-39.52329478351108,126.50671868694695,7392,15,36960,23,LinearRegression,4
2,frac,-73.17228856509492,147.37311412741522,7392,15,36960,23,LinearRegression,4
3,frac_cyc,-55.79362895574939,139.68516941462292,7392,15,36960,23,LinearRegression,4
4,domain,-53.34496194168544,137.5771611737394,7392,15,36960,23,LinearRegression,4
0,baseline,-1.5936419640847,88.53138727321075,7392,15,36960,23,RandomForestRegressor,4
1,baseline_cyc,0.08330298713322293,90.8160981264099,7392,15,36960,23,RandomForestRegressor,4
2,frac,-0.16415084278139602,86.9312202557114,7392,15,36960,23,RandomForestRegressor,4
3,frac_cyc,1.2658053744230031,88.20306905459765,7392,15,36960,23,RandomForestRegressor,4
4,domain,-0.04324638638076195,90.18797232150956,7392,15,36960,23,RandomForestRegressor,4
0,baseline,49.06692176075098,14.83077643241347,13260,15,66303,37,LinearRegression,4
1,baseline_cyc,63.218297727136786,8.453389432818312,13260,15,66303,37,LinearRegression,4
2,frac,54.229430881391735,8.271855854766539,13260,15,66303,37,LinearRegression,4
3,frac_cyc,62.38508413466009,9.990745688330344,13260,15,66303,37,LinearRegression,4
4,domain,62.349404611426834,9.967805626177945,13260,15,66303,37,LinearRegression,4
0,baseline,82.16676477337332,3.4228063601620184,13260,15,66303,37,RandomForestRegressor,4
1,baseline_cyc,79.84482609878714,2.814727161319375,13260,15,66303,37,RandomForestRegressor,4
2,frac,80.31256230603769,6.048639363527912,13260,15,66303,37,RandomForestRegressor,4
3,frac_cyc,80.91237615772448,4.133078426490199,13260,15,66303,37,RandomForestRegressor,4
4,domain,81.02609434873798,4.269721521749032,13260,15,66303,37,RandomForestRegressor,4
0,baseline,72.96493130151654,6.936616324462681,1752,60,8760,305,LinearRegression,4
1,baseline_cyc,72.99645708829681,5.776475022006085,1752,60,8760,305,LinearRegression,4
2,frac,73.02242950600535,6.8826950442470745,1752,60,8760,305,LinearRegression,4
3,frac_cyc,67.171013707377,15.320549607408994,1752,60,8760,305,LinearRegression,4
4,domain,72.0701452008994,6.2705434029256,1752,60,8760,305,LinearRegression,4
0,baseline,88.79447380659892,2.4609400814256843,1752,60,8760,305,RandomForestRegressor,4
1,baseline_cyc,86.0092342830654,2.422925384734355,1752,60,8760,305,RandomForestRegressor,4
2,frac,88.17486156063927,2.532423964867733,1752,60,8760,305,RandomForestRegressor,4
3,frac_cyc,88.17799667932887,2.2523866304576763,1752,60,8760,305,RandomForestRegressor,4
4,domain,88.28913439519334,2.382774623167684,1752,60,8760,305,RandomForestRegressor,4
0,baseline,31.934705521260035,21.61853163265396,1752,60,8760,463,LinearRegression,4
1,baseline_cyc,37.773198074108215,36.932096902727565,1752,60,8760,463,LinearRegression,4
2,frac,52.77695200135791,5.223386121740741,1752,60,8760,463,LinearRegression,4
3,frac_cyc,8.76345629676975,81.49176185824382,1752,60,8760,463,LinearRegression,4
4,domain,8.33948586516993,81.96445569024615,1752,60,8760,463,LinearRegression,4
0,baseline,67.77006995914738,19.071035546484072,1752,60,8760,463,RandomForestRegressor,4
1,baseline_cyc,71.53337455804669,8.577939567976962,1752,60,8760,463,RandomForestRegressor,4
2,frac,63.80481386125765,17.53260041931948,1752,60,8760,463,RandomForestRegressor,4
3,frac_cyc,70.56935362325859,11.944265294178859,1752,60,8760,463,RandomForestRegressor,4
4,domain,71.63016739144511,13.239765566680049,1752,60,8760,463,RandomForestRegressor,4
0,baseline,65.30989511424748,24.563927909191726,1752,60,8760,477,LinearRegression,4
1,baseline_cyc,82.54222404713575,5.092124897886952,1752,60,8760,477,LinearRegression,4
2,frac,65.3648944108898,24.525545288083702,1752,60,8760,477,LinearRegression,4
3,frac_cyc,79.43978358558064,6.433103847588727,1752,60,8760,477,LinearRegression,4
4,domain,81.6525605028109,4.601803178424638,1752,60,8760,477,LinearRegression,4
0,baseline,83.45580981555347,6.769706923178288,1752,60,8760,477,RandomForestRegressor,4
1,baseline_cyc,83.06848100614454,6.085325484115442,1752,60,8760,477,RandomForestRegressor,4
2,frac,83.05198783106938,7.133121250195616,1752,60,8760,477,RandomForestRegressor,4
3,frac_cyc,79.809286911561,6.058753316915126,1752,60,8760,477,RandomForestRegressor,4
4,domain,80.45220789548003,4.880122124115379,1752,60,8760,477,RandomForestRegressor,4
0,baseline,63.30114133839442,7.388480653811113,1752,60,8760,311,LinearRegression,4
1,baseline_cyc,71.39176284365854,2.686842047607875,1752,60,8760,311,LinearRegression,4
2,frac,63.51802472847175,7.1759366357644145,1752,60,8760,311,LinearRegression,4
3,frac_cyc,57.6970709218959,14.746821906317024,1752,60,8760,311,LinearRegression,4
4,domain,57.76964155467598,13.988984385230925,1752,60,8760,311,LinearRegression,4
0,baseline,81.12409440159777,2.9476776454955247,1752,60,8760,311,RandomForestRegressor,4
