,method,score,freq,dpoints,building_id
3,frac_cyc,-24.517374796182153,60,8760,117
0,normal,-618947353.5826524,60,8760,103
1,normal_cyc,-2.7056797868488145,60,8760,103
2,frac,-2.750634851969643,60,8760,103
3,frac_cyc,-30.747216545453682,60,8760,103
0,normal,0.5594194240665794,60,8760,249
1,normal_cyc,-2820980541264.9453,60,8760,249
2,frac,0.7591737245674729,60,8760,249
3,frac_cyc,0.28092829441098466,60,8760,249
0,normal,-41765763.22907554,60,8760,261
1,normal_cyc,0.7806994723019444,60,8760,261
2,frac,0.6875502917817543,60,8760,261
3,frac_cyc,-0.5772564117430686,60,8760,261
0,normal,0.41745261112482446,60,8760,507
1,normal_cyc,-6657980174853.726,60,8760,507
2,frac,0.5390314950461382,60,8760,507
3,frac_cyc,0.02835300472954476,60,8760,507
0,normal,0.1973127713809291,60,8760,513
1,normal_cyc,-353128579984.8407,60,8760,513
2,frac,0.5821638223340735,60,8760,513
3,frac_cyc,-2.3461543612182925,60,8760,513
0,normal,0.7562072358182437,60,8760,275
1,normal_cyc,-5322589164458.056,60,8760,275
2,frac,0.8432755160700787,60,8760,275
3,frac_cyc,0.6290986032131757,60,8760,275
0,normal,0.8766615449144525,60,8760,512
1,normal_cyc,-162495345663.67563,60,8760,512
2,frac,0.9210674204802419,60,8760,512
3,frac_cyc,0.36174700819827066,60,8760,512
0,normal,0.6324239597540107,60,8784,274
1,normal_cyc,0.7981578006751585,60,8784,274
2,frac,0.8224623788172047,60,8784,274
3,frac_cyc,-0.08785804890128701,60,8784,274
0,normal,0.6291391906795859,60,8760,260
1,normal_cyc,-732342.7179501748,60,8760,260
2,frac,0.8236230345197624,60,8760,260
3,frac_cyc,-1.3844711951942221,60,8760,260
0,normal,-0.15107919482900803,60,8760,506
1,normal_cyc,-645344311576.9459,60,8760,506
2,frac,0.4776303919625532,60,8760,506
3,frac_cyc,-3.3387057550471098,60,8760,506
0,normal,-0.5729907700881929,60,8760,248
1,normal_cyc,-7091972398282.66,60,8760,248
2,frac,0.7114894652062961,60,8760,248
3,frac_cyc,-3.418856759471236,60,8760,248
0,normal,-113554222.9110885,60,8760,102
1,normal_cyc,-1.229341716474719,60,8760,102
2,frac,-1.0140044549935088,60,8760,102
3,frac_cyc,-18.41958551873466,60,8760,102
0,normal,-567946505.3220574,60,8760,116
1,normal_cyc,-2.715252391584401,60,8760,116
2,frac,-2.688058188383905,60,8760,116
3,frac_cyc,-33.265744071901686,60,8760,116
0,normal,0.24961149902667992,60,8760,499
1,normal_cyc,-4596939063599.063,60,8760,499
2,frac,0.8037723617074012,60,8760,499
3,frac_cyc,-1.2993850843342096,60,8760,499
0,normal,0.8777775863481231,60,8760,466
1,normal_cyc,-720522.961024797,60,8760,466
2,frac,0.9036959506874873,60,8760,466
3,frac_cyc,0.7482038764897812,60,8760,466
0,normal,-0.259735918512205,60,8760,300
1,normal_cyc,-1559367977632.2007,60,8760,300
2,frac,0.6337851449931204,60,8760,300
3,frac_cyc,-0.10098711529252508,60,8760,300
0,normal,-48410194.68129676,60,8760,314
1,normal_cyc,0.47158879755226446,60,8760,314
2,frac,0.44864699351603693,60,8760,314
3,frac_cyc,-2.1738371022678886,60,8760,314
0,normal,-2.6478982972781018,15,36960,3
1,normal_cyc,-3634536772057.0225,15,36960,3
2,frac,-2.0856535872053463,15,36960,3
3,frac_cyc,-969.5133282508564,15,36960,3
0,normal,0.5708291279900526,60,8760,472
1,normal_cyc,-1018610103108.3181,60,8760,472
2,frac,0.8992362060387266,60,8760,472
3,frac_cyc,0.2378430584641576,60,8760,472
0,normal,0.48344296248381863,15,96380,26
1,normal_cyc,-564740207496.1693,15,96380,26
2,frac,0.4522511707982749,15,96380,26
3,frac_cyc,0.2789465543225809,15,96380,26
0,normal,-209418602.12324604,60,8760,328
1,normal_cyc,-1.4881406199396978,60,8760,328
2,frac,-2.064707486626692,60,8760,328
3,frac_cyc,-40.58631116239642,60,8760,328
0,normal,-0.490184019206981,15,66111,32
1,normal_cyc,0.5658994873332395,15,66111,32
2,frac,0.02823411963496727,15,66111,32
3,frac_cyc,-118.72409863587124,15,66111,32
0,normal,0.7454100605969454,60,8760,373
1,normal_cyc,-9139479354.123192,60,8760,373
2,frac,0.8951257650705489,60,8760,373
3,frac_cyc,-0.17374431387913844,60,8760,373
0,normal,0.33126463927088584,60,8760,415
1,normal_cyc,-4048153413203.235,60,8760,415
2,frac,0.8201134104570896,60,8760,415
3,frac_cyc,-0.4425499709050123,60,8760,415
0,normal,0.38950348966179754,15,42412,69
1,normal_cyc,-625327503843.9841,15,42412,69
2,frac,0.4160375458591041,15,42412,69
3,frac_cyc,-29.071278304224748,15,42412,69
0,normal,-31850375.093901053,60,8760,401
1,normal_cyc,0.7547055310735868,60,8760,401
2,frac,0.7553910695147869,60,8760,401
3,frac_cyc,-1.2659712086332386,60,8760,401
0,normal,0.3308378110909552,60,8760,367
1,normal_cyc,-3353418.731582597,60,8760,367
2,frac,0.637569484286987,60,8760,367
3,frac_cyc,0.21398847631072973,60,8760,367
0,normal,-49155502.92350059,60,8760,429
1,normal_cyc,0.7295658525570288,60,8760,429
2,frac,0.7390408461854435,60,8760,429
3,frac_cyc,-3.0014161190788653,60,8760,429
0,normal,0.20018378876137483,15,57599,55
1,normal_cyc,0.57891301440622,15,57599,55
2,frac,0.5176343412974524,15,57599,55
3,frac_cyc,0.0049428788952538385,15,57599,55
0,normal,0.4894928661675851,15,139716,41
1,normal_cyc,0.6463758728633009,15,139716,41
2,frac,0.5044385080653229,15,139716,41
3,frac_cyc,0.2260075992750915,15,139716,41
0,normal,0.52281130852815,60,8760,96
1,normal_cyc,-406823118040.388,60,8760,96
2,frac,0.6799789269217525,60,8760,96
3,frac_cyc,-1.4648618645664646,60,8760,96
0,normal,0.20478006751841704,15,46149,82
1,normal_cyc,-1627502914852.1848,15,46149,82
2,frac,0.2110059734726943,15,46149,82
3,frac_cyc,-0.165094369635459,15,46149,82
0,normal,0.5044164772827572,60,8760,398
1,normal_cyc,-1563506248100.1013,60,8760,398
2,frac,0.8874935077082905,60,8760,398
3,frac_cyc,-0.22323572869869834,60,8760,398
0,normal,-196143873.4559962,60,8760,171
1,normal_cyc,-2.5265671033165407,60,8760,171
2,frac,-3.847917612879054,60,8760,171
3,frac_cyc,-20.27334497677954,60,8760,171
0,normal,-363909331.68529093,60,8760,165
1,normal_cyc,-1.6605634465126566,60,8760,165
2,frac,-1.8814074555231812,60,8760,165
3,frac_cyc,-20.005147838796795,60,8760,165
0,normal,-814281814.5398532,60,8760,159
1,normal_cyc,-7.842228131658013,60,8760,159
2,frac,-7.480467577745395,60,8760,159
3,frac_cyc,-258.5428375412138,60,8760,159
0,normal,0.041414306617855154,60,8784,207
1,normal_cyc,0.5762442470048738,60,8784,207
2,frac,0.6708252405261614,60,8784,207
