,method,score,freq,dpoints,building_id
2,frac,-2.6314249312392803,60,8760,117
3,frac_cyc,-2.3980727338273624,60,8760,117
0,normal,-3.2351650483374987,60,8760,103
1,normal_cyc,-3.155248007609844,60,8760,103
2,frac,-3.155368831226722,60,8760,103
3,frac_cyc,-2.995205175265346,60,8760,103
0,normal,0.7454721415786176,60,8760,249
1,normal_cyc,0.7539679207181467,60,8760,249
2,frac,0.7447392676679148,60,8760,249
3,frac_cyc,0.746586564662343,60,8760,249
0,normal,0.7982626992700802,60,8760,261
1,normal_cyc,0.7983762895090559,60,8760,261
2,frac,0.803137894058844,60,8760,261
3,frac_cyc,0.8070330262436404,60,8760,261
0,normal,0.853629495441475,60,8760,507
1,normal_cyc,0.802179386024809,60,8760,507
2,frac,0.852531675313029,60,8760,507
3,frac_cyc,0.8097751477692849,60,8760,507
0,normal,0.7588340829234893,60,8760,513
1,normal_cyc,0.7162314213074675,60,8760,513
2,frac,0.7283152839412947,60,8760,513
3,frac_cyc,0.7460146195072918,60,8760,513
0,normal,0.8366467947676218,60,8760,275
1,normal_cyc,0.8453419865313816,60,8760,275
2,frac,0.8504104734491174,60,8760,275
3,frac_cyc,0.8417789661518535,60,8760,275
0,normal,0.9385702539799142,60,8760,512
1,normal_cyc,0.9411406459411061,60,8760,512
2,frac,0.9382150052885672,60,8760,512
3,frac_cyc,0.9436318492346921,60,8760,512
0,normal,0.8891512098264055,60,8784,274
1,normal_cyc,0.8781268941153753,60,8784,274
2,frac,0.8772038182442775,60,8784,274
3,frac_cyc,0.8888085985259666,60,8784,274
0,normal,0.8832584119373446,60,8760,260
1,normal_cyc,0.882850628574468,60,8760,260
2,frac,0.8680232162119139,60,8760,260
3,frac_cyc,0.880586702072181,60,8760,260
0,normal,0.638414238565031,60,8760,506
1,normal_cyc,0.6499753398475576,60,8760,506
2,frac,0.6639411188181402,60,8760,506
3,frac_cyc,0.7018602744381822,60,8760,506
0,normal,0.723211004336674,60,8760,248
1,normal_cyc,0.7382183148773642,60,8760,248
2,frac,0.6997799182201263,60,8760,248
3,frac_cyc,0.8035768693549947,60,8760,248
0,normal,-1.1492257306967184,60,8760,102
1,normal_cyc,-1.1366364322638807,60,8760,102
2,frac,-1.1368855552466959,60,8760,102
3,frac_cyc,-1.0248886584335184,60,8760,102
0,normal,-2.7665013241520118,60,8760,116
1,normal_cyc,-2.7124367198068695,60,8760,116
2,frac,-2.7563377256817625,60,8760,116
3,frac_cyc,-2.5329921512623956,60,8760,116
0,normal,0.8217335095872693,60,8760,499
1,normal_cyc,0.8435333568708875,60,8760,499
2,frac,0.8146299631377085,60,8760,499
3,frac_cyc,0.8472582963921138,60,8760,499
0,normal,0.9474009032265794,60,8760,466
1,normal_cyc,0.9403992102768423,60,8760,466
2,frac,0.9428589451495846,60,8760,466
3,frac_cyc,0.9493972209860141,60,8760,466
0,normal,0.56264030718996,60,8760,300
1,normal_cyc,0.5999603688209482,60,8760,300
2,frac,0.6187964225460906,60,8760,300
3,frac_cyc,0.7134355184151091,60,8760,300
0,normal,0.5759733475287024,60,8760,314
1,normal_cyc,0.539786408592671,60,8760,314
2,frac,0.6028339847096931,60,8760,314
3,frac_cyc,0.5735397484936499,60,8760,314
0,normal,-1.3741592092564998,15,36960,3
